variable;nuts3;year;value
Enterprise_population;AT;2008;243295
Enterprise_population;AT;2009;250368
Enterprise_population;AT;2010;258830
Enterprise_population;AT;2011;262461
Enterprise_population;AT;2012;264940
Enterprise_population;AT;2013;238969
Enterprise_population;AT;2014;238654
Enterprise_population;AT;2015;237336
Enterprise_population;AT;2016;237411
Enterprise_population;AT;2017;238097
Enterprise_population;AT;2018;237966
Enterprise_population;AT;2019;234734
Enterprise_population;AT1;2008;100474
Enterprise_population;AT1;2009;103487
Enterprise_population;AT1;2010;107416
Enterprise_population;AT1;2011;109329
Enterprise_population;AT1;2012;110921
Enterprise_population;AT1;2013;99544
Enterprise_population;AT1;2014;99605
Enterprise_population;AT1;2015;99721
Enterprise_population;AT1;2016;99977
Enterprise_population;AT1;2017;100449
Enterprise_population;AT1;2018;100502
Enterprise_population;AT1;2019;99178
Enterprise_population;AT11;2008;7448
Enterprise_population;AT11;2009;7679
Enterprise_population;AT11;2010;7905
Enterprise_population;AT11;2011;8076
Enterprise_population;AT11;2012;8211
Enterprise_population;AT11;2013;7393
Enterprise_population;AT11;2014;7445
Enterprise_population;AT11;2015;7509
Enterprise_population;AT11;2016;7553
Enterprise_population;AT11;2017;7539
Enterprise_population;AT11;2018;7516
Enterprise_population;AT11;2019;7375
Enterprise_population;AT111;2008;996
Enterprise_population;AT111;2009;1021
Enterprise_population;AT111;2010;1027
Enterprise_population;AT111;2011;1040
Enterprise_population;AT111;2012;1070
Enterprise_population;AT111;2013;957
Enterprise_population;AT111;2014;945
Enterprise_population;AT111;2015;968
Enterprise_population;AT111;2016;972
Enterprise_population;AT111;2017;961
Enterprise_population;AT111;2018;940
Enterprise_population;AT111;2019;926
Enterprise_population;AT112;2008;4029
Enterprise_population;AT112;2009;4153
Enterprise_population;AT112;2010;4300
Enterprise_population;AT112;2011;4440
Enterprise_population;AT112;2012;4522
Enterprise_population;AT112;2013;4074
Enterprise_population;AT112;2014;4109
Enterprise_population;AT112;2015;4182
Enterprise_population;AT112;2016;4196
Enterprise_population;AT112;2017;4198
Enterprise_population;AT112;2018;4226
Enterprise_population;AT112;2019;4144
Enterprise_population;AT113;2008;2423
Enterprise_population;AT113;2009;2505
Enterprise_population;AT113;2010;2578
Enterprise_population;AT113;2011;2596
Enterprise_population;AT113;2012;2619
Enterprise_population;AT113;2013;2362
Enterprise_population;AT113;2014;2391
Enterprise_population;AT113;2015;2359
Enterprise_population;AT113;2016;2385
Enterprise_population;AT113;2017;2380
Enterprise_population;AT113;2018;2350
Enterprise_population;AT113;2019;2305
Enterprise_population;AT12;2008;40263
Enterprise_population;AT12;2009;41230
Enterprise_population;AT12;2010;42506
Enterprise_population;AT12;2011;43080
Enterprise_population;AT12;2012;43458
Enterprise_population;AT12;2013;39606
Enterprise_population;AT12;2014;39649
Enterprise_population;AT12;2015;39752
Enterprise_population;AT12;2016;39771
Enterprise_population;AT12;2017;39911
Enterprise_population;AT12;2018;39806
Enterprise_population;AT12;2019;39281
