nuts3;year;pop_density
AL;2012;100.7
AL;2013;100.6
AL;2014;100.4
AL;2015;100.1
AL;2016;99.9
AL;2017;99.8
AL;2018;99.6
AL;2019;99.1
AL;2020;101.6
AL;2021;101.0
AL;2022;100.0
AL0;2012;100.7
AL0;2013;100.6
AL0;2014;100.4
AL0;2015;100.1
AL0;2016;99.9
AL0;2017;99.8
AL0;2018;99.6
AL0;2019;99.1
AL0;2020;101.6
AL0;2021;101.0
AL0;2022;100.0
AL01;2012;79.2
AL01;2013;78.5
AL01;2014;77.7
AL01;2015;77.0
AL01;2016;76.6
AL01;2017;76.1
AL01;2018;75.5
AL01;2019;74.8
AL01;2020;77.0
AL01;2021;76.3
AL01;2022;75.3
AL011;2012;56.4
AL011;2013;55.1
AL011;2014;53.7
AL011;2015;52.7
AL011;2016;51.6
AL011;2017;49.9
AL011;2018;48.6
AL011;2019;47.6
AL011;2020;71.7
AL011;2021;70.1
AL011;2022;68.2
AL012;2012;354.5
AL012;2013;357.2
AL012;2014;359.8
AL012;2015;362.5
AL012;2016;366.9
AL012;2017;373.0
AL012;2018;376.5
AL012;2019;377.2
AL012;2020;87.6
AL012;2021;87.9
AL012;2022;88.0
AL013;2012;36.3
AL013;2013;35.6
AL013;2014;34.8
AL013;2015;34.2
AL013;2016;33.6
AL013;2017;32.8
AL013;2018;32.2
AL013;2019;31.8
AL013;2020;31.0
AL013;2021;30.5
AL013;2022;30.0
AL014;2012;82.3
AL014;2013;81.1
AL014;2014;79.9
AL014;2015;78.9
AL014;2016;78.0
AL014;2017;77.0
AL014;2018;75.9
AL014;2019;74.6
AL014;2020;53.0
AL014;2021;52.0
AL014;2022;50.9
AL015;2012;62.7
AL015;2013;61.8
AL015;2014;60.9
AL015;2015;60.0
AL015;2016;59.3
AL015;2017;58.5
AL015;2018;57.8
AL015;2019;57.1
AL015;2020;264.4
AL015;2021;260.6
AL015;2022;256.0
AL02;2012;219.6
AL02;2013;222.3
AL02;2014;225.1
AL02;2015;227.0
AL02;2016;229.2
AL02;2017;232.4
AL02;2018;234.8
AL02;2019;236.2
AL02;2020;237.8
AL02;2021;238.6
AL02;2022;238.9
AL021;2012;90.8
AL021;2013;89.6
AL021;2014;88.4
AL021;2015;87.2
AL021;2016;86.2
AL021;2017;84.8
AL021;2018;83.5
AL021;2019;82.2
AL021;2020;82.8
AL021;2021;81.4
AL021;2022;79.8
AL022;2012;477.7
AL022;2013;488.3
AL022;2014;499.2
AL022;2015;507.3
AL022;2016;515.8
AL022;2017;528.2
AL022;2018;538.2
AL022;2019;544.9
AL022;2020;548.9
AL022;2021;554.0
AL022;2022;558.1
AL03;2012;73.3
AL03;2013;72.4
AL03;2014;71.6
AL03;2015;70.7
AL03;2016;69.9
AL03;2017;68.9
AL03;2018;67.9
AL03;2019;67.1
AL03;2020;68.8
AL03;2021;67.9
AL03;2022;66.5
AL031;2012;80.7
AL031;2013;79.1
AL031;2014;77.6
AL031;2015;76.0
AL031;2016;74.2
AL031;2017;72.0
AL031;2018;70.1
AL031;2019;68.6
AL031;2020;68.3
AL031;2021;66.7
AL031;2022;64.8
AL032;2012;169.2
AL032;2013;167.0
AL032;2014;164.7
AL032;2015;162.8
AL032;2016;161.3
AL032;2017;159.5
AL032;2018;157.4
AL032;2019;155.2
AL032;2020;102.1
AL032;2021;100.6
AL032;2022;98.6
AL033;2012;26.0
AL033;2013;25.2
AL033;2014;24.5
AL033;2015;23.9
AL033;2016;23.3
AL033;2017;22.4
AL033;2018;21.6
AL033;2019;21.0
AL033;2020;23.0
AL033;2021;22.3
AL033;2022;21.5
AL034;2012;60.8
AL034;2013;60.1
AL034;2014;59.4
AL034;2015;58.6
AL034;2016;57.8
AL034;2017;56.9
AL034;2018;56.0
AL034;2019;55.3
AL034;2020;115.5
AL034;2021;113.9
AL034;2022;111.8
AL035;2012;69.1
AL035;2013;69.5
AL035;2014;69.6
AL035;2015;69.6
AL035;2016;69.7
AL035;2017;69.9
AL035;2018;70.0
AL035;2019;69.9
AL035;2020;52.9
AL035;2021;52.7
AL035;2022;52.1
AT;1990;93.0
AT;1991;94.0
AT;1992;95.0
AT;1993;95.8
AT;1994;96.2
AT;1995;96.3
AT;1996;96.5
AT;1997;96.6
AT;1998;96.7
AT;1999;96.9
AT;2000;97.2
AT;2001;97.5
AT;2002;98.0
AT;2003;98.5
AT;2004;99.1
AT;2005;99.8
AT;2006;100.3
AT;2007;100.6
AT;2008;100.9
AT;2009;101.2
AT;2010;101.5
AT;2011;101.8
AT;2012;102.3
AT;2013;102.9
AT;2014;103.7
AT;2015;104.9
AT;2016;106.0
AT;2017;106.8
AT;2018;107.1
AT;2019;107.6
AT;2020;107.6
AT;2021;108.1
AT;2022;108.5
AT1;1990;140.1
AT1;1991;141.5
AT1;1992;143.1
AT1;1993;144.3
AT1;1994;144.8
AT1;1995;144.8
AT1;1996;144.9
AT1;1997;145.1
AT1;1998;145.2
AT1;1999;145.5
AT1;2000;146.1
AT1;2001;146.8
AT1;2002;148.0
AT1;2003;149.2
AT1;2004;150.5
AT1;2005;152.0
AT1;2006;153.1
AT1;2007;153.8
AT1;2008;154.7
AT1;2009;155.4
AT1;2010;156.1
AT1;2011;156.9
AT1;2012;158.0
AT1;2013;159.4
AT1;2014;161.0
AT1;2015;163.3
AT1;2016;165.6
AT1;2017;167.0
AT1;2018;167.2
AT1;2019;168.1
AT1;2020;168.1
AT1;2021;168.9
AT1;2022;169.7
AT11;1990;72.6
AT11;1991;73.1
AT11;1992;73.6
AT11;1993;73.9
AT11;1994;74.2
AT11;1995;74.4
AT11;1996;74.4
AT11;1997;74.3
AT11;1998;74.2
AT11;1999;74.1
AT11;2000;74.5
AT11;2001;74.6
AT11;2002;75.1
AT11;2003;75.2
AT11;2004;75.4
AT11;2005;75.7
AT11;2006;76.0
AT11;2007;76.2
AT11;2008;76.8
AT11;2009;77.2
AT11;2010;77.4
AT11;2011;77.7
AT11;2012;78.0
AT11;2013;78.2
AT11;2014;78.5
AT11;2015;79.0
AT11;2016;79.4
AT11;2017;79.7
AT11;2018;77.5
AT11;2019;77.8
AT11;2020;77.8
AT11;2021;78.1
AT11;2022;78.5
AT111;1990;55.4
AT111;1991;55.6
AT111;1992;55.8
AT111;1993;55.8
AT111;1994;55.9
AT111;1995;55.8
AT111;1996;55.6
AT111;1997;55.4
AT111;1998;55.1
AT111;1999;54.9
AT111;2000;54.6
AT111;2001;54.3
AT111;2002;54.2
AT111;2003;54.1
AT111;2004;54.0
AT111;2005;53.8
AT111;2006;53.8
AT111;2007;53.8
AT111;2008;54.0
AT111;2009;54.0
AT111;2010;54.1
AT111;2011;54.1
