nuts3;year;pop_tot
AL;2014;2892394
AL;2015;2885796
AL;2016;2875592
AL;2017;2876591
AL;2018;2870324
AL;2019;2862427
AL;2020;2845955
AL;2021;2829741
AL0;2014;2892394
AL0;2015;2885796
AL0;2016;2875592
AL0;2017;2876591
AL0;2018;2870324
AL0;2019;2862427
AL0;2020;2845955
AL0;2021;2829741
AL01;2014;844921
AL01;2015;836448
AL01;2016;830981
AL01;2017;826904
AL01;2018;819793
AL01;2019;813758
AL01;2020;804689
AL01;2021;797955
AL011;2014;134332
AL011;2015;131054
AL011;2016;129056
AL011;2017;125579
AL011;2018;120978
AL011;2019;118948
AL011;2020;115857
AL011;2021;113683
AL012;2014;276058
AL012;2015;277989
AL012;2016;280205
AL012;2017;284823
AL012;2018;289626
AL012;2019;290126
AL012;2020;290697
AL012;2021;292029
AL013;2014;84306
AL013;2015;82428
AL013;2016;81294
AL013;2017;79559
AL013;2018;77395
AL013;2019;76594
AL013;2020;75428
AL013;2021;74388
AL014;2014;133748
AL014;2015;131829
AL014;2016;130258
AL014;2017;129019
AL014;2018;126800
AL014;2019;125195
AL014;2020;122700
AL014;2021;120678
AL015;2014;216477
AL015;2015;213148
AL015;2016;210168
AL015;2017;207924
AL015;2018;204994
AL015;2019;202895
AL015;2020;200007
AL015;2021;197177
AL02;2014;1111160
AL02;2015;1124817
AL02;2016;1130587
AL02;2017;1146183
AL02;2018;1162544
AL02;2019;1170142
AL02;2020;1176240
AL02;2021;1178435
AL021;2014;294938
AL021;2015;290666
AL021;2016;287606
AL021;2017;283822
AL021;2018;278548
AL021;2019;274982
AL021;2020;270074
AL021;2021;266245
AL022;2014;816222
AL022;2015;834151
AL022;2016;842981
AL022;2017;862361
AL022;2018;883996
AL022;2019;895160
AL022;2020;906166
AL022;2021;912190
AL03;2014;936313
AL03;2015;924531
AL03;2016;914024
AL03;2017;903504
AL03;2018;887987
AL03;2019;878527
AL03;2020;865026
AL03;2021;853351
AL031;2014;141114
AL031;2015;138365
AL031;2016;135441
AL031;2017;131942
AL031;2018;127432
AL031;2019;125157
AL031;2020;122003
AL031;2021;119450
AL032;2014;312248
AL032;2015;308014
AL032;2016;305108
AL032;2017;302507
AL032;2018;298144
AL032;2019;294747
AL032;2020;289889
AL032;2021;286002
AL033;2014;71567
AL033;2015;69557
AL033;2016;68020
AL033;2017;65939
AL033;2018;62951
AL033;2019;61423
AL033;2020;59381
AL033;2021;58031
AL034;2014;223029
AL034;2015;220196
AL034;2016;217422
AL034;2017;214321
AL034;2018;210179
AL034;2019;207889
AL034;2020;204831
AL034;2021;202193
AL035;2014;188355
AL035;2015;188399
AL035;2016;188033
AL035;2017;188795
AL035;2018;189281
AL035;2019;189311
AL035;2020;188922
AL035;2021;187675
ALX;2018;0
ALX;2019;0
ALX;2020;0
ALXX;2018;0
ALXX;2019;0
ALXX;2020;0
ALXXX;2018;0
ALXXX;2019;0
ALXXX;2020;0
AT;2014;8507786
AT;2015;8584926
AT;2016;8700471
AT;2017;8772865
AT;2018;8822267
AT;2019;8858775
AT;2020;8901064
AT;2021;8932664
AT;2022;8978929
AT1;2014;3679647
AT1;2015;3722471
AT1;2016;3784928
AT1;2017;3825277
AT1;2018;3852119
AT1;2019;3868466
AT1;2020;3889914
AT1;2021;3907838
AT1;2022;3927972
AT11;2014;287416
AT11;2015;288356
AT11;2016;291011
AT11;2017;291942
AT11;2018;292675
AT11;2019;293433
AT11;2020;294436
AT11;2021;296010
AT11;2022;297583
AT111;2014;37534
AT111;2015;37622
AT111;2016;37692
AT111;2017;37752
AT111;2018;37661
AT111;2019;37513
AT111;2020;37384
AT111;2021;37453
AT111;2022;37524
AT112;2014;152539
AT112;2015;153637
AT112;2016;155809
AT112;2017;156735
AT112;2018;157840
AT112;2019;158981
AT112;2020;160064
AT112;2021;161469
AT112;2022;162880
AT113;2014;97343
AT113;2015;97097
AT113;2016;97510
AT113;2017;97455
AT113;2018;97174
AT113;2019;96939
AT113;2020;96988
AT113;2021;97088
AT113;2022;97179
AT12;2014;1625485
AT12;2015;1636778
AT12;2016;1653691
AT12;2017;1665753
AT12;2018;1670668
AT12;2019;1677542
AT12;2020;1684287
AT12;2021;1690879
AT12;2022;1698796
AT121;2014;241727
AT121;2015;242689
AT121;2016;244431
AT121;2017;245671
AT121;2018;246050
AT121;2019;246740
AT121;2020;247347
AT121;2021;247574
AT121;2022;248164
AT122;2014;254011
AT122;2015;255720
AT122;2016;258132
AT122;2017;259655
AT122;2018;259630
AT122;2019;260480
AT122;2020;261156
AT122;2021;262265
AT122;2022;263484
AT123;2014;149510
AT123;2015;150657
AT123;2016;152576
AT123;2017;154045
AT123;2018;154885
AT123;2019;155446
AT123;2020;156363
AT123;2021;157014
AT123;2022;158066
AT124;2014;218249
AT124;2015;218129
AT124;2016;219219
AT124;2017;219513
AT124;2018;218161
AT124;2019;217445
AT124;2020;216681
AT124;2021;215867
AT124;2022;215650
AT125;2014;123141
AT125;2015;123544
AT125;2016;124281
AT125;2017;124939
AT125;2018;124893
AT125;2019;124967
AT125;2020;125210
AT125;2021;125490
AT125;2022;126272
AT126;2014;312952
AT126;2015;316251
AT126;2016;320370
AT126;2017;323987
AT126;2018;327072
AT126;2019;330362
AT126;2020;332957
AT126;2021;335788
AT126;2022;338001
AT127;2014;325895
AT127;2015;329788
AT127;2016;334682
AT127;2017;337943
AT127;2018;339977
AT127;2019;342102
AT127;2020;344573
AT127;2021;346881
AT127;2022;349159
AT13;2014;1766746
AT13;2015;1797337
AT13;2016;1840226
AT13;2017;1867582
AT13;2018;1888776
AT13;2019;1897491
AT13;2020;1911191
AT13;2021;1920949
AT13;2022;1931593
AT130;2014;1766746
AT130;2015;1797337
AT130;2016;1840226
AT130;2017;1867582
AT130;2018;1888776
AT130;2019;1897491
AT130;2020;1911191
AT130;2021;1920949
AT130;2022;1931593
AT2;2014;1771127
AT2;2015;1779211
AT2;2016;1792494
AT2;2017;1798375
AT2;2018;1801112
AT2;2019;1803991
AT2;2020;1807688
AT2;2021;1809166
AT2;2022;1817435
AT21;2014;555881
AT21;2015;557641
AT21;2016;560482
AT21;2017;561077
AT21;2018;560898
AT21;2019;560939
AT21;2020;561293
AT21;2021;562089
AT21;2022;564513
AT211;2014;279347
AT211;2015;281395
AT211;2016;283941
AT211;2017;285523
AT211;2018;286579
AT211;2019;287528
AT211;2020;288814
AT211;2021;290424
AT211;2022;292945
AT212;2014;125600
AT212;2015;125338
AT212;2016;125474
AT212;2017;124975
AT212;2018;124389
AT212;2019;124252
AT212;2020;123824
AT212;2021;123463
AT212;2022;123469
AT213;2014;150934
AT213;2015;150908
AT213;2016;151067
AT213;2017;150579
AT213;2018;149930
AT213;2019;149159
AT213;2020;148655
AT213;2021;148202
AT213;2022;148099
AT22;2014;1215246
AT22;2015;1221570
AT22;2016;1232012
AT22;2017;1237298
AT22;2018;1240214
AT22;2019;1243052
AT22;2020;1246395
AT22;2021;1247077
AT22;2022;1252922
AT221;2014;415657
AT221;2015;421304
AT221;2016;429088
AT221;2017;434969
AT221;2018;439236
AT221;2019;443066
AT221;2020;447142
AT221;2021;448987
AT221;2022;453042
AT222;2014;78893
AT222;2015;79574
AT222;2016;79860
AT222;2017;80011
AT222;2018;80082
AT222;2019;79901
AT222;2020;79652
AT222;2021;79592
AT222;2022;79609
AT223;2014;162626
AT223;2015;161767
AT223;2016;161907
AT223;2017;160777
AT223;2018;159888
AT223;2019;159044
AT223;2020;158397
AT223;2021;157205
AT223;2022;157373
AT224;2014;266450
AT224;2015;264950
AT224;2016;265794
AT224;2017;266343
AT224;2018;266518
AT224;2019;266912
AT224;2020;266971
AT224;2021;265376
AT224;2022;266130
AT225;2014;189839
AT225;2015;192555
AT225;2016;193823
AT225;2017;194192
AT225;2018;194100
AT225;2019;194466
AT225;2020;194992
AT225;2021;197112
AT225;2022;198271
AT226;2014;101781
AT226;2015;101420
AT226;2016;101540
AT226;2017;101006
AT226;2018;100390
AT226;2019;99663
AT226;2020;99241
AT226;2021;98805
AT226;2022;98497
AT3;2014;3057012
AT3;2015;3083244
AT3;2016;3123049
AT3;2017;3149213
AT3;2018;3169036
AT3;2019;3186318
AT3;2020;3203462
AT3;2021;3215660
AT3;2022;3233522
AT31;2014;1425422
AT31;2015;1437251
AT31;2016;1453948
AT31;2017;1465045
AT31;2018;1473576
AT31;2019;1482095
AT31;2020;1490279
AT31;2021;1495608
AT31;2022;1505140
AT311;2014;276781
AT311;2015;278909
AT311;2016;281728
AT311;2017;284192
AT311;2018;286047
AT311;2019;287640
AT311;2020;289509
AT311;2021;290917
AT311;2022;293141
AT312;2014;560587
AT312;2015;567637
AT312;2016;575644
AT312;2017;581728
AT312;2018;587029
AT312;2019;591781
AT312;2020;595637
AT312;2021;598030
AT312;2022;601998
AT313;2014;204708
AT313;2015;205212
AT313;2016;207282
AT313;2017;208083
AT313;2018;208483
AT313;2019;209304
AT313;2020;210133
AT313;2021;210515
AT313;2022;211657
AT314;2014;152309
AT314;2015;152997
AT314;2016;154263
AT314;2017;154978
AT314;2018;155445
AT314;2019;155486
AT314;2020;155844
AT314;2021;156051
AT314;2022;156593
AT315;2014;231037
AT315;2015;232496
AT315;2016;235031
AT315;2017;236064
AT315;2018;236572
AT315;2019;237884
AT315;2020;239156
AT315;2021;240095
AT315;2022;241751
AT32;2014;534270
AT32;2015;538575
AT32;2016;545815
AT32;2017;549263
AT32;2018;552579
AT32;2019;555221
AT32;2020;558410
AT32;2021;560710
AT32;2022;562606
AT321;2014;20450
AT321;2015;20458
AT321;2016;20547
AT321;2017;20426
AT321;2018;20344
AT321;2019;20320
AT321;2020;20251
AT321;2021;20118
AT321;2022;20159
AT322;2014;163578
AT322;2015;164390
AT322;2016;166024
AT322;2017;166795
AT322;2018;167438
AT322;2019;168035
AT322;2020;168822
AT322;2021;169560
AT322;2022;170352
AT323;2014;350242
AT323;2015;353727
AT323;2016;359244
AT323;2017;362042
AT323;2018;364797
AT323;2019;366866
AT323;2020;369337
AT323;2021;371032
AT323;2022;372095
AT33;2014;722038
AT33;2015;728826
AT33;2016;739139
AT33;2017;746153
AT33;2018;751140
AT33;2019;754705
AT33;2020;757634
AT33;2021;760105
AT33;2022;764102
AT331;2014;31672
AT331;2015;31691
AT331;2016;32036
AT331;2017;32399
AT331;2018;32532
AT331;2019;32670
AT331;2020;32838
AT331;2021;33054
AT331;2022;33284
AT332;2014;294259
AT332;2015;299006
AT332;2016;305226
AT332;2017;308290
AT332;2018;310297
AT332;2019;311428
AT332;2020;312414
AT332;2021;312757
AT332;2022;313503
AT333;2014;48990
AT333;2015;48896
AT333;2016;49026
AT333;2017;48879
AT333;2018;48833
AT333;2019;48753
AT333;2020;48738
AT333;2021;48814
AT333;2022;48818
AT334;2014;101177
AT334;2015;101547
AT334;2016;102419
AT334;2017;103190
AT334;2018;103949
AT334;2019;104418
AT334;2020;104860
AT334;2021;105268
AT334;2022;106037
AT335;2014;245940
AT335;2015;247686
AT335;2016;250432
AT335;2017;253395
AT335;2018;255529
AT335;2019;257436
AT335;2020;258784
AT335;2021;260212
AT335;2022;262460
AT34;2014;375282
AT34;2015;378592
AT34;2016;384147
AT34;2017;388752
AT34;2018;391741
AT34;2019;394297
AT34;2020;397139
AT34;2021;399237
AT34;2022;401674
AT341;2014;87974
AT341;2015;88571
AT341;2016;89934
AT341;2017;90847
AT341;2018;91399
AT341;2019;91889
AT341;2020;92362
AT341;2021;92656
AT341;2022;93293
AT342;2014;287308
AT342;2015;290021
AT342;2016;294213
AT342;2017;297905
AT342;2018;300342
AT342;2019;302408
AT342;2020;304777
AT342;2021;306581
AT342;2022;308381
BE;2014;11180840
BE;2015;11237274
BE;2016;11311117
BE;2017;11351727
BE;2018;11398589
BE;2019;11455519
BE;2020;11522440
