edu_level;age;nuts3;year;prop;;
Vocational_edu;Y20-24;AT;2014;42.2;;
Vocational_edu;Y20-24;AT;2015;40.9;;
Vocational_edu;Y20-24;AT;2016;41.7;;
Vocational_edu;Y20-24;AT;2017;38.3;;
Vocational_edu;Y20-24;AT;2018;38.7;;
Vocational_edu;Y20-24;AT;2019;38.4;;
Vocational_edu;Y20-24;AT;2020;37.9;;
Vocational_edu;Y20-24;AT;2021;36.4;;
Vocational_edu;Y20-24;AT;2022;37.8;;
Vocational_edu;Y20-24;AT1;2014;34.2;;
Vocational_edu;Y20-24;AT1;2015;33.2;;
Vocational_edu;Y20-24;AT1;2016;34.1;;
Vocational_edu;Y20-24;AT1;2017;29.5;;
Vocational_edu;Y20-24;AT1;2018;32.7;;
Vocational_edu;Y20-24;AT1;2019;34.0;;
Vocational_edu;Y20-24;AT1;2020;29.6;;
Vocational_edu;Y20-24;AT1;2021;28.9;;
Vocational_edu;Y20-24;AT1;2022;32.5;;
Vocational_edu;Y20-24;AT11;2014;47.4;;
Vocational_edu;Y20-24;AT11;2015;46.2;;
Vocational_edu;Y20-24;AT11;2016;44.2;;
Vocational_edu;Y20-24;AT11;2017;38.9;;
Vocational_edu;Y20-24;AT11;2018;44.4;;
Vocational_edu;Y20-24;AT11;2019;41.1;;
Vocational_edu;Y20-24;AT11;2020;37.6;;
Vocational_edu;Y20-24;AT11;2021;34.5;;
Vocational_edu;Y20-24;AT11;2022;37.7;;
Vocational_edu;Y20-24;AT12;2014;46.7;;
Vocational_edu;Y20-24;AT12;2015;41.5;;
Vocational_edu;Y20-24;AT12;2016;40.6;;
Vocational_edu;Y20-24;AT12;2017;39.6;;
Vocational_edu;Y20-24;AT12;2018;42.3;;
Vocational_edu;Y20-24;AT12;2019;45.3;;
Vocational_edu;Y20-24;AT12;2020;40.9;;
Vocational_edu;Y20-24;AT12;2021;38.5;;
Vocational_edu;Y20-24;AT12;2022;43.6;;
Vocational_edu;Y20-24;AT13;2014;23.2;;
Vocational_edu;Y20-24;AT13;2015;25.5;;
Vocational_edu;Y20-24;AT13;2016;28.4;;
Vocational_edu;Y20-24;AT13;2017;21.3;;
Vocational_edu;Y20-24;AT13;2018;24.6;;
Vocational_edu;Y20-24;AT13;2019;25.2;;
Vocational_edu;Y20-24;AT13;2020;20.7;;
Vocational_edu;Y20-24;AT13;2021;21.6;;
Vocational_edu;Y20-24;AT13;2022;24.5;;
Vocational_edu;Y20-24;AT2;2014;44.8;;
Vocational_edu;Y20-24;AT2;2015;42.3;;
Vocational_edu;Y20-24;AT2;2016;44.3;;
Vocational_edu;Y20-24;AT2;2017;41.4;;
Vocational_edu;Y20-24;AT2;2018;39.6;;
Vocational_edu;Y20-24;AT2;2019;41.8;;
Vocational_edu;Y20-24;AT2;2020;42.0;;
Vocational_edu;Y20-24;AT2;2021;38.0;;
Vocational_edu;Y20-24;AT2;2022;41.7;;
Vocational_edu;Y20-24;AT21;2014;50.7;;
Vocational_edu;Y20-24;AT21;2015;47.1;;
Vocational_edu;Y20-24;AT21;2016;53.0;;
Vocational_edu;Y20-24;AT21;2017;49.1;;
Vocational_edu;Y20-24;AT21;2018;46.6;;
Vocational_edu;Y20-24;AT21;2019;44.6;;
Vocational_edu;Y20-24;AT21;2020;43.1;;
Vocational_edu;Y20-24;AT21;2021;42.0;;
Vocational_edu;Y20-24;AT21;2022;43.4;;
Vocational_edu;Y20-24;AT22;2014;42.5;;
Vocational_edu;Y20-24;AT22;2015;40.4;;
Vocational_edu;Y20-24;AT22;2016;40.9;;
