dist_id;year;freight_unload
AT111;2011;1117
AT111;2012;1586
AT111;2013;1252
AT111;2014;1161
AT111;2015;1438
AT111;2016;1528
AT111;2017;1192
AT111;2018;1419
AT111;2019;1453
AT111;2020;2017
AT111;2021;2022
AT112;2011;6993
AT112;2012;7869
AT112;2013;6168
AT112;2014;7287
AT112;2015;6817
AT112;2016;7187
AT112;2017;6407
AT112;2018;7076
AT112;2019;7576
AT112;2020;7401
AT112;2021;9274
AT113;2011;2978
AT113;2012;3159
AT113;2013;2994
AT113;2014;2454
AT113;2015;2773
AT113;2016;3058
AT113;2017;3054
AT113;2018;3445
AT113;2019;3059
AT113;2020;3738
AT113;2021;4076
AT121;2011;13706
AT121;2012;12479
AT121;2013;12351
AT121;2014;13014
AT121;2015;15071
AT121;2016;14646
AT121;2017;16044
AT121;2018;17884
AT121;2019;16562
AT121;2020;16317
AT121;2021;17137
AT122;2011;10209
AT122;2012;7861
AT122;2013;8534
AT122;2014;10424
AT122;2015;9014
AT122;2016;11144
AT122;2017;11142
AT122;2018;13639
AT122;2019;14447
AT122;2020;12065
AT122;2021;13981
AT123;2011;6766
AT123;2012;7551
AT123;2013;7472
AT123;2014;9137
AT123;2015;6899
AT123;2016;7297
AT123;2017;8111
AT123;2018;8112
AT123;2019;7439
AT123;2020;6797
AT123;2021;8713
AT124;2011;9169
AT124;2012;8192
AT124;2013;9334
AT124;2014;8392
AT124;2015;8736
AT124;2016;9594
AT124;2017;9231
AT124;2018;9969
AT124;2019;11888
AT124;2020;9957
AT124;2021;10530
AT125;2011;4629
AT125;2012;4208
AT125;2013;3900
AT125;2014;5428
AT125;2015;6498
AT125;2016;5343
AT125;2017;6088
AT125;2018;4981
AT125;2019;5803
AT125;2020;5964
AT125;2021;5761
AT126;2011;17988
AT126;2012;16816
AT126;2013;18057
AT126;2014;16905
AT126;2015;18548
AT126;2016;16966
AT126;2017;20776
AT126;2018;19996
AT126;2019;21542
AT126;2020;20034
AT126;2021;21674
AT127;2011;12473
AT127;2012;12890
AT127;2013;12841
AT127;2014;15671
AT127;2015;15450
AT127;2016;17470
AT127;2017;17349
AT127;2018;19720
AT127;2019;16991
AT127;2020;14905
AT127;2021;17699
AT130;2011;25444
AT130;2012;26038
AT130;2013;25131
AT130;2014;26573
AT130;2015;25975
AT130;2016;29710
AT130;2017;29078
AT130;2018;28317
AT130;2019;28283
AT130;2020;24357
AT130;2021;27635
AT211;2011;10262
AT211;2012;7915
AT211;2013;8870
AT211;2014;8808
AT211;2015;8304
AT211;2016;9965
AT211;2017;9393
AT211;2018;9415
AT211;2019;10581
AT211;2020;9003
AT211;2021;10305
AT212;2011;4596
AT212;2012;4202
AT212;2013;4425
AT212;2014;4032
AT212;2015;4695
AT212;2016;4390
AT212;2017;4228
AT212;2018;4343
AT212;2019;4653
AT212;2020;5928
AT212;2021;6426
AT213;2011;8002
AT213;2012;6431
AT213;2013;6597
AT213;2014;7331
AT213;2015;8055
AT213;2016;8783
AT213;2017;11007
AT213;2018;10539
AT213;2019;9200
AT213;2020;7987
AT213;2021;9305
AT221;2011;14671
