lau1,name,unemp_rate,long_unemp_rate
SK0101,Bratislava I,2.3,0.7
SK0102,Bratislava II,2.6,0.8
SK0103,Bratislava III,2.4,0.7
SK0104,Bratislava IV,2.6,0.7
SK0105,Bratislava V,2.3,0.5
SK0106,Malacky,2.5,0.4
SK0107,Pezinok,2.9,0.7
SK0108,Senec,2.5,0.5
SK0211,Dunajská Streda,3,0.8
SK0212,Galanta,2.7,0.5
SK0213,Hlohovec,2.6,0.5
SK0214,Piešťany,2.5,0.5
SK0215,Senica,4.9,1.6
SK0216,Skalica,2.8,0.5
SK0217,Trnava,2.4,0.4
SK0221,Bánovce nad Bebravou,2.9,0.8
SK0222,Ilava,2.3,0.4
SK0223,Myjava,2.9,0.7
SK0224,Nové Mesto nad Váhom,2.8,0.6
SK0225,Partizánske,3.2,0.8
SK0226,Považská Bystrica,3,0.8
SK0227,Prievidza,4.2,1.5
SK0228,Púchov,2.5,0.5
SK0229,Trenčín,2.2,0.4
SK0231,Komárno,4.3,1.5
SK0232,Levice,3.6,1.3
SK0233,Nitra,2.4,0.4
SK0234,Nové Zámky,3.6,1
SK0235,Šaľa,3,0.8
SK0236,Topoľčany,3.7,1
SK0237,Zlaté Moravce,2.8,0.6
SK0311,Bytča,3.7,1.2
SK0312,Čadca,3.9,1.4
SK0313,Dolný Kubín,4.3,1.3
SK0314,Kysucké Nové Mesto,4.3,1.8
SK0315,Liptovský Mikuláš,4.6,1.5
SK0316,Martin,3.2,0.9
SK0317,Námestovo,2.9,0.7
SK0318,Ružomberok,4.2,1.6
SK0319,Turčianske Teplice,4.7,1.8
SK031A,Tvrdošín,3,0.8
SK031B,Žilina,3.2,1
SK0321,Banská Bystrica,3.5,1.1
SK0322,Banská Štiavnica,6,2.3
SK0323,Brezno,6.1,2.8
SK0324,Detva,4.8,2
SK0325,Krupina,5.6,2.5
SK0326,Lučenec,8.5,4
SK0327,Poltár,9.8,4.7
SK0328,Revúca,13.9,8.7
SK0329,Rimavská Sobota,14.6,9.2
SK032A,Veľký Krtíš,6.2,2.6
SK032B,Zvolen,3.6,1.3
SK032C,Žarnovica,5.9,2.6
SK032D,Žiar nad Hronom,4.9,1.7
SK0411,Bardejov,9.4,4.3
SK0412,Humenné,5.9,2.8
SK0413,Kežmarok,12.5,6.6
SK0414,Levoča,7.1,3.5
SK0415,Medzilaborce,11.7,6.2
SK0416,Poprad,5,2
SK0417,Prešov,5.9,2.8
SK0418,Sabinov,10,5.9
SK0419,Snina,6.9,3.4
SK041A,Stará Ľubovňa,5.2,2.1
SK041B,Stropkov,10,5.6
SK041C,Svidník,9.2,5
SK041D,Vranov nad Topľou,11.2,6
SK0421,Gelnica,8.3,4.5
SK0422,Košice I,3.7,1.4
SK0423,Košice II,3.6,1.4
SK0424,Košice III,2.8,0.9
SK0425,Košice IV,3.2,1.1
SK0426,Košice – okolie,6.8,3.4
SK0427,Michalovce,8.1,4.4
SK0428,Rožňava,11.2,6.3
SK0429,Sobrance,9.2,5.1
SK042A,Spišská Nová Ves,6.4,3
SK042B,Trebišov,9,5.3
