lau1,name,unemp_rate,long_unemp_rate
SK0221,Bánovce nad Bebravou,2.9,0.8
SK0321,Banská Bystrica,3.5,1.1
SK0322,Banská _tiavnica,6,2.3
SK0411,Bardejov,9.4,4.3
SK0101,Bratislava I,2.3,0.7
SK0102,Bratislava II,2.6,0.8
SK0103,Bratislava III,2.4,0.7
SK0104,Bratislava IV,2.6,0.7
SK0105,Bratislava V,2.3,0.5
SK0323,Brezno,6.1,2.8
SK0311,Byt_a,3.7,1.2
SK0312,_adca,3.9,1.4
SK0324,Detva,4.8,2
SK0313,Doln_ Kubín,4.3,1.3
SK0211,Dunajská Streda,3,0.8
SK0212,Galanta,2.7,0.5
SK0421,Gelnica,8.3,4.5
SK0213,Hlohovec,2.6,0.5
SK0412,Humenné,5.9,2.8
SK0222,Ilava,2.3,0.4
SK0413,Ke_marok,12.5,6.6
SK0231,Komárno,4.3,1.5
SK0426,Ko_ice - okolie,6.8,3.4
SK0422,Ko_ice I,3.7,1.4
SK0423,Ko_ice II,3.6,1.4
SK0424,Ko_ice III,2.8,0.9
SK0425,Ko_ice IV,3.2,1.1
SK0325,Krupina,5.6,2.5
SK0314,Kysucké Nové Mesto,4.3,1.8
SK0232,Levice,3.6,1.3
SK0414,Levo_a,7.1,3.5
SK0315,Liptovsk_ Mikulá_,4.6,1.5
SK0326,Lu_enec,8.5,4
SK0106,Malacky,2.5,0.4
SK0316,Martin,3.2,0.9
SK0415,Medzilaborce,11.7,6.2
SK0427,Michalovce,8.1,4.4
SK0223,Myjava,2.9,0.7
SK0317,Námestovo,2.9,0.7
SK0233,Nitra,2.4,0.4
SK0224,Nové Mesto nad Váhom,2.8,0.6
SK0234,Nové Zámky,3.6,1
SK0225,Partizánske,3.2,0.8
SK0107,Pezinok,2.9,0.7
SK0214,Pie__any,2.5,0.5
SK0327,Poltár,9.8,4.7
SK0416,Poprad,5,2
SK0226,Pova_ská Bystrica,3,0.8
SK0417,Pre_ov,5.9,2.8
SK0227,Prievidza,4.2,1.5
SK0228,Púchov,2.5,0.5
SK0328,Revúca,13.9,8.7
SK0329,Rimavská Sobota,14.6,9.2
SK0428,Ro__ava,11.2,6.3
SK0318,Ru_omberok,4.2,1.6
SK0418,Sabinov,10,5.9
SK0235,_a_a,3,0.8
SK0108,Senec,2.5,0.5
SK0215,Senica,4.9,1.6
SK0216,Skalica,2.8,0.5
SK0419,Snina,6.9,3.4
SK0429,Sobrance,9.2,5.1
SK042A,Spi_ská Nová Ves,6.4,3
SK041A,Stará _ubov_a,5.2,2.1
SK041B,Stropkov,10,5.6
SK041C,Svidník,9.2,5
SK0236,Topo__any,3.7,1
SK042B,Trebi_ov,9,5.3
SK0229,Tren_ín,2.2,0.4
SK0217,Trnava,2.4,0.4
SK0319,Tur_ianske Teplice,4.7,1.8
SK031A,Tvrdo_ín,3,0.8
SK032A,Ve_k_ Krtí_,6.2,2.6
SK041D,Vranov nad Top_ou,11.2,6
SK032C,_arnovica,5.9,2.6
SK032D,_iar nad Hronom,4.9,1.7
SK031B,_ilina,3.2,1
SK0237,Zlaté Moravce,2.8,0.6
SK032B,Zvolen,3.6,1.3
