"","nuts2","year","country","country_code","regionname","nutslevel.x","ideology","ideo01","num_parties","voteshare","nuts3","pop_tot","pop_density","Enterprise_population","Business_growth_rate","nutslevel.y","freight_kt_unload","educ_voc","educ_uni"
"1","BE10",1991,"Belgium","BE","Bruxelles/Brussels",2,"farright",1,2,0.0907625654041493,"BE10",NA,5936.5,NA,NA,2,NA,NA,NA
"2","BE10",1991,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",0,12,0.842295609552116,"BE10",NA,5936.5,NA,NA,2,NA,NA,NA
"3","BE10",1991,"Belgium","BE","Bruxelles/Brussels",2,"populist",1,2,0.0907625654041493,"BE10",NA,5936.5,NA,NA,2,NA,NA,NA
"4","BE10",1991,"Belgium","BE","Bruxelles/Brussels",2,"eurosceptic",1,2,0.0907625654041493,"BE10",NA,5936.5,NA,NA,2,NA,NA,NA
"5","BE10",1991,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",1,2,0.0907625654041493,"BE10",NA,5936.5,NA,NA,2,NA,NA,NA
"6","BE10",1995,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",1,2,0.107515977608829,"BE10",NA,5899.7,NA,NA,2,NA,NA,NA
"7","BE10",1995,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",0,10,0.820349059358687,"BE10",NA,5899.7,NA,NA,2,NA,NA,NA
"8","BE10",1995,"Belgium","BE","Bruxelles/Brussels",2,"farright",1,2,0.107515977608829,"BE10",NA,5899.7,NA,NA,2,NA,NA,NA
"9","BE10",1995,"Belgium","BE","Bruxelles/Brussels",2,"populist",1,2,0.107515977608829,"BE10",NA,5899.7,NA,NA,2,NA,NA,NA
"10","BE10",1995,"Belgium","BE","Bruxelles/Brussels",2,"eurosceptic",1,2,0.107515977608829,"BE10",NA,5899.7,NA,NA,2,NA,NA,NA
"11","BE10",1999,"Belgium","BE","Bruxelles/Brussels",2,"eurosceptic",1,2,0.0889539833480036,"BE10",NA,5928.3,NA,NA,2,NA,NA,NA
"12","BE10",1999,"Belgium","BE","Bruxelles/Brussels",2,"farright",1,2,0.0889539833480036,"BE10",NA,5928.3,NA,NA,2,NA,NA,NA
"13","BE10",1999,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",1,2,0.0889539833480036,"BE10",NA,5928.3,NA,NA,2,NA,NA,NA
"14","BE10",1999,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",0,11,0.861263185235422,"BE10",NA,5928.3,NA,NA,2,NA,NA,NA
"15","BE10",1999,"Belgium","BE","Bruxelles/Brussels",2,"populist",1,2,0.0889539833480036,"BE10",NA,5928.3,NA,NA,2,NA,NA,NA
"16","BE10",2003,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",1,2,0.111772303532829,"BE10",NA,6186.1,NA,NA,2,NA,NA,38.6
"17","BE10",2003,"Belgium","BE","Bruxelles/Brussels",2,"eurosceptic",1,2,0.111772303532829,"BE10",NA,6186.1,NA,NA,2,NA,NA,38.6
"18","BE10",2003,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",0,11,0.849025945779544,"BE10",NA,6186.1,NA,NA,2,NA,NA,38.6
"19","BE10",2003,"Belgium","BE","Bruxelles/Brussels",2,"populist",1,2,0.111772303532829,"BE10",NA,6186.1,NA,NA,2,NA,NA,38.6
"20","BE10",2003,"Belgium","BE","Bruxelles/Brussels",2,"farright",1,2,0.111772303532829,"BE10",NA,6186.1,NA,NA,2,NA,NA,38.6
"21","BE10",2007,"Belgium","BE","Bruxelles/Brussels",2,"farright",1,2,0.0959857078911193,"BE10",NA,6458.7,NA,NA,2,NA,NA,41
"22","BE10",2007,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",0,9,0.848246991797135,"BE10",NA,6458.7,NA,NA,2,NA,NA,41
"23","BE10",2007,"Belgium","BE","Bruxelles/Brussels",2,"non_democ",1,3,0.110518843811829,"BE10",NA,6458.7,NA,NA,2,NA,NA,41
"24","BE10",2007,"Belgium","BE","Bruxelles/Brussels",2,"eurosceptic",1,2,0.0959857078911193,"BE10",NA,6458.7,NA,NA,2,NA,NA,41
