"","country","country_code","regionname","nutslevel","nuts2","year","ideology","ideo01","num_parties","voteshare"
"1","Belgium","BE","Bruxelles/Brussels",2,"BE10",1991,"eurosceptic",1,2,0.0907625654041493
"2","Belgium","BE","Bruxelles/Brussels",2,"BE10",1991,"farright",1,2,0.0907625654041493
"3","Belgium","BE","Bruxelles/Brussels",2,"BE10",1991,"non_democ",0,12,0.842295609552116
"4","Belgium","BE","Bruxelles/Brussels",2,"BE10",1991,"non_democ",1,2,0.0907625654041493
"5","Belgium","BE","Bruxelles/Brussels",2,"BE10",1991,"populist",1,2,0.0907625654041493
"6","Belgium","BE","Bruxelles/Brussels",2,"BE10",1995,"eurosceptic",1,2,0.107515977608829
"7","Belgium","BE","Bruxelles/Brussels",2,"BE10",1995,"farright",1,2,0.107515977608829
"8","Belgium","BE","Bruxelles/Brussels",2,"BE10",1995,"non_democ",0,10,0.820349059358687
"9","Belgium","BE","Bruxelles/Brussels",2,"BE10",1995,"non_democ",1,2,0.107515977608829
"10","Belgium","BE","Bruxelles/Brussels",2,"BE10",1995,"populist",1,2,0.107515977608829
"11","Belgium","BE","Bruxelles/Brussels",2,"BE10",1999,"eurosceptic",1,2,0.0889539833480036
"12","Belgium","BE","Bruxelles/Brussels",2,"BE10",1999,"farright",1,2,0.0889539833480036
"13","Belgium","BE","Bruxelles/Brussels",2,"BE10",1999,"non_democ",0,11,0.861263185235422
"14","Belgium","BE","Bruxelles/Brussels",2,"BE10",1999,"non_democ",1,2,0.0889539833480036
"15","Belgium","BE","Bruxelles/Brussels",2,"BE10",1999,"populist",1,2,0.0889539833480036
"16","Belgium","BE","Bruxelles/Brussels",2,"BE10",2003,"eurosceptic",1,2,0.111772303532829
"17","Belgium","BE","Bruxelles/Brussels",2,"BE10",2003,"farright",1,2,0.111772303532829
"18","Belgium","BE","Bruxelles/Brussels",2,"BE10",2003,"non_democ",0,11,0.849025945779544
"19","Belgium","BE","Bruxelles/Brussels",2,"BE10",2003,"non_democ",1,2,0.111772303532829
"20","Belgium","BE","Bruxelles/Brussels",2,"BE10",2003,"populist",1,2,0.111772303532829
"21","Belgium","BE","Bruxelles/Brussels",2,"BE10",2007,"eurosceptic",1,2,0.0959857078911193
"22","Belgium","BE","Bruxelles/Brussels",2,"BE10",2007,"eurosceptic_bl",1,1,0.01453313592071
"23","Belgium","BE","Bruxelles/Brussels",2,"BE10",2007,"farright",1,2,0.0959857078911193
"24","Belgium","BE","Bruxelles/Brussels",2,"BE10",2007,"non_democ",0,9,0.848246991797135
"25","Belgium","BE","Bruxelles/Brussels",2,"BE10",2007,"non_democ",1,3,0.110518843811829
"26","Belgium","BE","Bruxelles/Brussels",2,"BE10",2007,"populist",1,3,0.110518843811829
"27","Belgium","BE","Bruxelles/Brussels",2,"BE10",2010,"eurosceptic",1,2,0.0664757555508061
"28","Belgium","BE","Bruxelles/Brussels",2,"BE10",2010,"eurosceptic_bl",1,1,0.00884395518774129
"29","Belgium","BE","Bruxelles/Brussels",2,"BE10",2010,"farright",1,2,0.0664757555508061
"30","Belgium","BE","Bruxelles/Brussels",2,"BE10",2010,"non_democ",0,10,0.884183144811988
"31","Belgium","BE","Bruxelles/Brussels",2,"BE10",2010,"non_democ",1,3,0.0753197107385474
"32","Belgium","BE","Bruxelles/Brussels",2,"BE10",2010,"populist",1,3,0.0753197107385474
"33","Belgium","BE","Bruxelles/Brussels",2,"BE10",2014,"eurosceptic",1,3,0.0623988692300988
"34","Belgium","BE","Bruxelles/Brussels",2,"BE10",2014,"farleft",1,1,0.0362554994296888
"35","Belgium","BE","Bruxelles/Brussels",2,"BE10",2014,"farright",1,2,0.02614336980041
"36","Belgium","BE","Bruxelles/Brussels",2,"BE10",2014,"non_democ",0,10,0.882546202788272
"37","Belgium","BE","Bruxelles/Brussels",2,"BE10",2014,"non_democ",1,3,0.0623988692300988
"38","Belgium","BE","Bruxelles/Brussels",2,"BE10",2014,"populist",1,2,0.02614336980041
"39","Belgium","BE","Bruxelles/Brussels",2,"BE10",2019,"eurosceptic",1,3,0.144706741570946
"40","Belgium","BE","Bruxelles/Brussels",2,"BE10",2019,"farleft",1,1,0.114454506428995
"41","Belgium","BE","Bruxelles/Brussels",2,"BE10",2019,"farright",1,2,0.0302522351419508
"42","Belgium","BE","Bruxelles/Brussels",2,"BE10",2019,"non_democ",0,9,0.78718438085964
"43","Belgium","BE","Bruxelles/Brussels",2,"BE10",2019,"non_democ",1,3,0.144706741570946
"44","Belgium","BE","Bruxelles/Brussels",2,"BE10",2019,"populist",1,2,0.0302522351419508
"45","Belgium","BE","Prov. Antwerpen",2,"BE21",1991,"eurosceptic",1,1,0.157734380768283
"46","Belgium","BE","Prov. Antwerpen",2,"BE21",1991,"farright",1,1,0.157734380768283
"47","Belgium","BE","Prov. Antwerpen",2,"BE21",1991,"non_democ",0,7,0.78923322032873
"48","Belgium","BE","Prov. Antwerpen",2,"BE21",1991,"non_democ",1,1,0.157734380768283
"49","Belgium","BE","Prov. Antwerpen",2,"BE21",1991,"populist",1,1,0.157734380768283
"50","Belgium","BE","Prov. Antwerpen",2,"BE21",1995,"eurosceptic",1,1,0.172550867439017
"51","Belgium","BE","Prov. Antwerpen",2,"BE21",1995,"farright",1,1,0.172550867439017
"52","Belgium","BE","Prov. Antwerpen",2,"BE21",1995,"non_democ",0,6,0.769670198521278
"53","Belgium","BE","Prov. Antwerpen",2,"BE21",1995,"non_democ",1,1,0.172550867439017
"54","Belgium","BE","Prov. Antwerpen",2,"BE21",1995,"populist",1,1,0.172550867439017
"55","Belgium","BE","Prov. Antwerpen",2,"BE21",1999,"eurosceptic",1,1,0.199201001459709
"56","Belgium","BE","Prov. Antwerpen",2,"BE21",1999,"farright",1,1,0.199201001459709
"57","Belgium","BE","Prov. Antwerpen",2,"BE21",1999,"non_democ",0,7,0.755227158719614
"58","Belgium","BE","Prov. Antwerpen",2,"BE21",1999,"non_democ",1,1,0.199201001459709
"59","Belgium","BE","Prov. Antwerpen",2,"BE21",1999,"populist",1,1,0.199201001459709
"60","Belgium","BE","Prov. Antwerpen",2,"BE21",2003,"eurosceptic",1,1,0.232634597192396
"61","Belgium","BE","Prov. Antwerpen",2,"BE21",2003,"farright",1,1,0.232634597192396
"62","Belgium","BE","Prov. Antwerpen",2,"BE21",2003,"non_democ",0,7,0.733139530869142
"63","Belgium","BE","Prov. Antwerpen",2,"BE21",2003,"non_democ",1,1,0.232634597192396
"64","Belgium","BE","Prov. Antwerpen",2,"BE21",2003,"populist",1,1,0.232634597192396
"65","Belgium","BE","Prov. Antwerpen",2,"BE21",2007,"eurosceptic",1,1,0.231133423931473
"66","Belgium","BE","Prov. Antwerpen",2,"BE21",2007,"eurosceptic_bl",1,1,0.0519980667055271
"67","Belgium","BE","Prov. Antwerpen",2,"BE21",2007,"farright",1,1,0.231133423931473
"68","Belgium","BE","Prov. Antwerpen",2,"BE21",2007,"non_democ",0,5,0.677118361060771
"69","Belgium","BE","Prov. Antwerpen",2,"BE21",2007,"non_democ",1,2,0.283131490637
"70","Belgium","BE","Prov. Antwerpen",2,"BE21",2007,"populist",1,2,0.283131490637
"71","Belgium","BE","Prov. Antwerpen",2,"BE21",2010,"eurosceptic",1,1,0.154210175090734
"72","Belgium","BE","Prov. Antwerpen",2,"BE21",2010,"eurosceptic_bl",1,1,0.0218501875661012
"73","Belgium","BE","Prov. Antwerpen",2,"BE21",2010,"farright",1,1,0.154210175090734
"74","Belgium","BE","Prov. Antwerpen",2,"BE21",2010,"non_democ",0,6,0.778916803587888
"75","Belgium","BE","Prov. Antwerpen",2,"BE21",2010,"non_democ",1,2,0.176060362656835
"76","Belgium","BE","Prov. Antwerpen",2,"BE21",2010,"populist",1,2,0.176060362656835
"77","Belgium","BE","Prov. Antwerpen",2,"BE21",2014,"eurosceptic",1,2,0.110572083765354
"78","Belgium","BE","Prov. Antwerpen",2,"BE21",2014,"farleft",1,1,0.0434232356945422
"79","Belgium","BE","Prov. Antwerpen",2,"BE21",2014,"farright",1,1,0.0671488480708119
"80","Belgium","BE","Prov. Antwerpen",2,"BE21",2014,"non_democ",0,6,0.849368345724235
"81","Belgium","BE","Prov. Antwerpen",2,"BE21",2014,"non_democ",1,2,0.110572083765354
