"","country","country_code","regionname","nutslevel","nuts3","year","ideology","ideo01","num_parties","voteshare","nuts2"
"1","Austria","AT","Abroad votes",3,"ATZZZ",1990,"eurosceptic",1,1,0.172279973966095,"ATZZ"
"2","Austria","AT","Abroad votes",3,"ATZZZ",1990,"farright",1,1,0.172279973966095,"ATZZ"
"3","Austria","AT","Abroad votes",3,"ATZZZ",1990,"non_democ",0,5,0.808407491438617,"ATZZ"
"4","Austria","AT","Abroad votes",3,"ATZZZ",1990,"non_democ",1,1,0.172279973966095,"ATZZ"
"5","Austria","AT","Abroad votes",3,"ATZZZ",1990,"populist",1,1,0.172279973966095,"ATZZ"
"6","Austria","AT","Abroad votes",3,"ATZZZ",1994,"eurosceptic",1,1,0.195393567874911,"ATZZ"
"7","Austria","AT","Abroad votes",3,"ATZZZ",1994,"farright",1,1,0.195393567874911,"ATZZ"
"8","Austria","AT","Abroad votes",3,"ATZZZ",1994,"non_democ",0,5,0.794873845060412,"ATZZ"
"9","Austria","AT","Abroad votes",3,"ATZZZ",1994,"non_democ",1,1,0.195393567874911,"ATZZ"
"10","Austria","AT","Abroad votes",3,"ATZZZ",1994,"populist",1,1,0.195393567874911,"ATZZ"
"11","Austria","AT","Abroad votes",3,"ATZZZ",1995,"eurosceptic",1,1,0.166512857197464,"ATZZ"
"12","Austria","AT","Abroad votes",3,"ATZZZ",1995,"farright",1,1,0.166512857197464,"ATZZ"
"13","Austria","AT","Abroad votes",3,"ATZZZ",1995,"non_democ",0,6,0.824280417415236,"ATZZ"
"14","Austria","AT","Abroad votes",3,"ATZZZ",1995,"non_democ",1,1,0.166512857197464,"ATZZ"
"15","Austria","AT","Abroad votes",3,"ATZZZ",1995,"populist",1,1,0.166512857197464,"ATZZ"
"16","Austria","AT","Abroad votes",3,"ATZZZ",2002,"eurosceptic",1,1,0.0692835164441419,"ATZZ"
"17","Austria","AT","Abroad votes",3,"ATZZZ",2002,"farright",1,1,0.0692835164441419,"ATZZ"
"18","Austria","AT","Abroad votes",3,"ATZZZ",2002,"non_democ",0,5,0.923160643343739,"ATZZ"
