"","cntry_name","cntry","vote_code","lrscale","emplrel","emplno","estsz","hinctnta","isco08","jbspv","njbspv","sclmeet","inprdsc","sclact","age","rlgdgr","eduyrs","male","blgetmg","uemp3m","uemp12m","uemp5yr","mbtru","tporgwk","wrkac6m","anweight","domicil","region","uempla","uempli","pdwrk","vote","empName","communist10","occup","org_name","domicil_name","self_emp10","occup_level","party_code","populist","party_name","civil_lib_2018","civil_lib_2008","polit_rights_2018","polit_rights_2008","freedom_status_2018","freedom_status_2008","total_polit_2018","total_polit_2008","voted","gov_type","private","org_simp","centrist","psoe","soe","public","pvzt","method_oldcode"
"1","Bulgaria","BG","1",6,1,NA,2,5,7233,0,NA,2,4,NA,45,2,11,1,0,0,NA,NA,0,6,2,0.125391554825671,2,"BG321",0,0,1,1,"employee",1,"7 craft & trade","Other","Suburbs, outskirts of big city",0,7,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",0,NA,0,"other",0,0,"typeC","state"
"2","Bulgaria","BG","1",6,1,NA,1,NA,5223,0,NA,7,2,2,26,5,12,0,0,0,NA,NA,0,4,2,0.592016647158248,2,"BG412",0,0,1,1,"employee",1,"5 service & sales","Private firm","Suburbs, outskirts of big city",0,5,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",1,"private",0,"private",0,0,"typeC","state"
"3","Bulgaria","BG","1",10,1,NA,3,3,5223,0,NA,2,1,2,55,2,11,0,0,0,NA,NA,0,4,2,0.0817536238109683,3,"BG324",0,0,1,1,"employee",1,"5 service & sales","Private firm","Town or small city",0,5,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",1,"private",0,"private",0,0,"typeC","state"
"4","Bulgaria","BG","1",NA,1,NA,NA,5,8212,0,NA,3,1,3,56,7,11,1,0,1,1,2,0,4,2,0.164520865274214,2,"BG424",0,0,1,1,"employee",1,"8 plant & machine op.","Private firm","Suburbs, outskirts of big city",0,8,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",1,"private",0,"private",0,0,"typeC","state"
"5","Bulgaria","BG","1",5,1,NA,4,7,3359,0,NA,7,3,3,54,5,16,0,0,0,NA,NA,0,3,2,0.180318952255521,3,"BG324",0,0,1,1,"employee",1,"3 technicians and assoc. profs.","State-owned enterprise","Town or small city",0,3,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",0,"other",1,"SOE",1,0,"typeC","state"
"6","Bulgaria","BG","1",7,1,NA,NA,5,7115,0,NA,4,2,3,48,5,11,1,0,0,NA,NA,0,4,2,0.380505577754416,5,"BG331",0,0,1,1,"employee",1,"7 craft & trade","Private firm","Farm or home in countryside",0,7,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",1,"private",0,"private",0,0,"typeC","state"
"7","Bulgaria","BG","1",7,1,NA,3,3,7126,0,NA,2,2,2,60,6,11,1,0,0,NA,NA,1,4,2,0.165777710504882,2,"BG322",0,0,1,1,"employee",1,"7 craft & trade","Private firm","Suburbs, outskirts of big city",0,7,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",1,"private",0,"private",0,0,"typeC","state"
"8","Bulgaria","BG","1",10,1,NA,1,6,9112,0,NA,2,0,1,28,1,7,0,1,1,1,2,0,3,2,0.227944177753527,5,"BG411",0,0,1,1,"employee",1,"9 elementary","State-owned enterprise","Farm or home in countryside",0,9,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",0,"other",0,"SOE",1,0,"typeC","state"
"9","Bulgaria","BG","1",9,1,NA,1,7,2422,0,NA,3,2,3,50,0,17,0,0,0,NA,NA,0,2,2,0.314682778326241,3,"BG333",0,0,1,1,"employee",1,"2 professionals","Other public sector","Town or small city",0,2,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",0,"public",0,"public",0,1,"typeC","state"
"10","Bulgaria","BG","1",7,1,NA,2,8,5230,0,NA,6,3,4,28,0,12,0,0,0,NA,NA,0,4,2,0.534934400277833,4,"BG332",0,0,1,1,"employee",1,"5 service & sales","Private firm","Country village",0,5,"RWP",0,"GERB",47,49,33,36,"F","F",80,85,1,"parliamentary.republic",1,"private",0,"private",0,0,"typeC","state"
