region;year;tot_indust
AT111;2008;929
AT111;2010;1457
AT111;2012;1586
AT111;2018;1419
AT112;2008;6397
AT112;2010;5222
AT112;2012;7869
AT112;2018;7076
AT113;2008;3043
AT113;2010;3100
AT113;2012;3159
AT113;2018;3445
AT121;2008;13033
AT121;2010;12844
AT121;2012;12479
AT121;2018;17884
AT122;2008;8722
AT122;2010;8223
AT122;2012;7861
AT122;2018;13639
AT123;2008;7808
AT123;2010;7496
AT123;2012;7551
AT123;2018;8112
AT124;2008;9381
AT124;2010;8308
AT124;2012;8192
AT124;2018;9969
AT125;2008;5664
AT125;2010;3797
AT125;2012;4208
AT125;2018;4981
AT126;2008;24929
AT126;2010;15848
AT126;2012;16816
AT126;2018;19996
AT127;2008;15161
AT127;2010;11597
AT127;2012;12890
AT127;2018;19720
AT130;2008;28357
AT130;2010;28107
AT130;2012;26038
AT130;2018;28317
AT211;2008;10267
AT211;2010;10176
AT211;2012;7915
AT211;2018;9415
AT212;2008;4745
AT212;2010;5475
AT212;2012;4202
AT212;2018;4343
AT213;2008;9603
AT213;2010;7253
AT213;2012;6431
AT213;2018;10539
AT221;2008;12116
AT221;2010;11968
AT221;2012;15507
AT221;2018;20348
AT222;2008;4242
AT222;2010;3996
AT222;2012;4604
AT222;2018;3850
AT223;2008;7880
AT223;2010;7775
AT223;2012;6336
AT223;2018;10979
AT224;2008;9486
AT224;2010;10351
AT224;2012;10193
AT224;2018;12865
AT225;2008;8233
AT225;2010;6619
AT225;2012;8211
AT225;2018;8897
AT226;2008;6389
AT226;2010;5340
AT226;2012;5111
AT226;2018;6917
AT311;2008;12504
AT311;2010;11455
AT311;2012;13434
AT311;2018;13808
AT312;2008;26785
AT312;2010;25054
AT312;2012;24865
AT312;2018;28066
AT313;2008;6642
AT313;2010;8097
AT313;2012;7916
AT313;2018;6950
AT314;2008;7545
AT314;2010;6375
AT314;2012;6732
AT314;2018;9550
AT315;2008;11929
AT315;2010;9842
AT315;2012;11172
AT315;2018;11172
AT321;2008;1365
AT321;2010;1142
AT321;2012;902
AT321;2018;1087
AT322;2008;9127
AT322;2010;9189
