okres,year,total_voters,total_populist,business_total,private,private_foreign,private_foreign_intl,pop_density,age_dep_ratio,pop_tot,foreign_prop,uni_prop,relig,prop_agro,prop_manuf,prop_prof,tot_land,agro_land,agro_prop_land,foreign_biz_prop,turnout,total_pop,slovak,hungarian,ukrainian,czech,german,polish,austrian
Bánovce nad Bebravou,2002,21185,0.5939579891432617,244,240,13,27,83.46,24.88,38566,0.021547477052325847,0.13853833641819507,0.9093675931911226,0.08660844250363901,0.17139737991266377,0.09788937409024745,461927047,193725780,0.4193860940989671,0.05327868852459016,0.5493180521703055,38566,37735,36,30,242,6,16,5
Bánovce nad Bebravou,2010,17860,0.6397536394176931,514,512,61,23,82,19.46,37836,0.024051168199598294,0.13853833641819507,0.9093675931911226,0.08660844250363901,0.17139737991266377,0.09788937409024745,461948973,191716516,0.41501665163351276,0.11867704280155641,0.47203721323607145,37836,36926,32,36,262,18,19,14
Bánovce nad Bebravou,2012,18860,0.7433191940615058,570,567,59,29,80.26,19.71,37067,0.07688779777160282,0.13853833641819507,0.9093675931911226,0.08660844250363901,0.17139737991266377,0.09788937409024745,461938974,191331721,0.41419263532416295,0.10350877192982456,0.5088083740254135,37067,34217,26,22,150,8,12,1
Bánovce nad Bebravou,2016,18575,0.35730820995962315,732,730,61,22,79.47,20.48,36679,0.06693203195288855,0.13853833641819507,0.9093675931911226,0.08660844250363901,0.17139737991266377,0.09788937409024745,461938974,191126069,0.41374744231908,0.08333333333333333,0.5064205676272526,36679,34224,32,28,176,17,9,18
Banská Bystrica,2002,65172,0.46658074019517587,2244,2216,107,197,138.15,21.2,111747,0.04663212435233166,0.26067332593414727,0.7458154294241384,0.02186505670229257,0.07640531940931712,0.17487966060210491,809425855,285713815,0.35298330691450425,0.04768270944741533,0.5832102875244973,111747,106536,498,60,1315,66,52,1
Banská Bystrica,2010,56360,0.3996983676366217,4660,4634,304,233,137.08,16.87,111029,0.05196840465103714,0.26067332593414727,0.7458154294241384,0.02186505670229257,0.07640531940931712,0.17487966060210491,809430802,282360874,0.34883880537078943,0.06523605150214593,0.5076151275792811,111029,105259,513,80,1389,103,131,34
Banská Bystrica,2012,55564,0.5968432798214671,5173,5148,386,219,137.34,17.43,111148,0.13652067513585486,0.26067332593414727,0.7458154294241384,0.02186505670229257,0.07640531940931712,0.17487966060210491,809430802,281952496,0.34833428046391546,0.07461820993620723,0.49991002987008315,111148,95974,357,51,823,89,54,6
Banská Bystrica,2016,58296,0.3752573075339646,6595,6577,475,205,137.04,18.85,110925,0.12906919089474866,0.26067332593414727,0.7458154294241384,0.02186505670229257,0.07640531940931712,0.17487966060210491,809430802,280870426,0.3469974521676283,0.07202426080363912,0.5255442866801893,110925,96608,409,83,916,116,164,31
Banská Štiavnica,2002,8761,0.5247117908914507,125,119,6,5,58.42,24.73,17073,0.049961928190710436,0.16706321136904378,0.842000602591142,0.06725888324873096,0.12119289340101523,0.14720812182741116,292278596,105202090,0.3599377150422606,0.048,0.5131494172084577,17073,16220,52,8,81,12,4,2
Banská Štiavnica,2010,7998,0.5125031257814454,257,252,20,11,57.05,19.68,16638,0.054934487318187286,0.16706321136904378,0.842000602591142,0.06725888324873096,0.12119289340101523,0.14720812182741116,292300476,105096757,0.35955041345878613,0.07782101167315175,0.48070681572304363,16638,15724,58,11,88,15,6,7
Banská Štiavnica,2012,7757,0.6722959907180611,274,269,20,12,56.6,19.67,16509,0.11405899812223641,0.16706321136904378,0.842000602591142,0.06725888324873096,0.12119289340101523,0.14720812182741116,292299436,104965971,0.3591042543099536,0.072992700729927,0.4698649221636683,16509,14626,40,2,53,6,3,0
Banská Štiavnica,2016,7791,0.3864715697599795,450,446,34,13,55.72,19.85,16260,0.10147601476014756,0.16706321136904378,0.842000602591142,0.06725888324873096,0.12119289340101523,0.14720812182741116,292296528,104882869,0.35882351979220223,0.07555555555555556,0.47915129151291513,16260,14610,49,5,69,8,7,4
